tmp_lot_id,lot_turns,EUV_3300,EUV_3400,year,jpn_ytd,tmp_lot_id,,,,,,,
AX203599,11,0,0,2019-05-01,FY57,AX214093,,,,,,,
AX006911,4,0,0,2019-05-01,FY57,AX214094,,,,,,,
AX012652,8.36,0,0,2023-06-01,FY61,AX216589,,,,,,,
AX014129,4,0,0,2019-05-01,FY57,AX008679,,,,,,,
AX101954,0,0.11,0,2019-05-01,FY57,AX911918,,,,,,,
AX105030,0,0.11,0,2019-05-01,FY57,AX224401,,,,,,,
AX117547,2,0,0,2019-05-01,FY57,AX231341,,,,,,,
AX907789,11,0,0,2019-05-01,FY57,AX902093,,,,,,,
AX201800,0,0.23,0,2019-05-01,FY57,AX902154,,,,,,,
AX913055,0,0.85,0,2019-05-01,FY57,AX904946,,,,,,,
AX907953,2,0,0,2019-05-01,FY57,AX904945,,,,,,,
AX909749,7,0,0,2019-05-01,FY57,AX904901,,,,,,,
AX913556,0,6.32,0,2019-05-01,FY57,AX907555,,,,,,,
AX904903,2,0,0,2023-07-01,FY61,AX907814,,,,,,,
AX906056,1,0,0,2019-05-01,FY57,AX907558,,,,,,,
AX912742,2,0,0,2023-07-01,FY61,AX909385,,,,,,,
AX002339,2,0,0,2019-06-01,FY57,AX911919,,,,,,,
AX811660,1,0.9,0,2019-06-01,FY57,AX913416,,,,,,,
AX910239,8.36,0,0,2023-07-01,FY61,AX913417,,,,,,,
AX913559,2.7,0,0,2023-07-01,FY61,AX000671,,,,,,,
AX912647,5,0,0,2019-06-01,FY57,AX000670,,,,,,,
AX004875,8.36,0,0,2023-07-01,FY61,AX000672,,,,,,,
AX005857,2,0,0,2019-06-01,FY57,AX000673,,,,,,,
AX009943,1,0,0,2023-08-01,FY61,AX001659,,,,,,,
AX103408,2,0,0,2019-06-01,FY57,AX001653,,,,,,,
AX118800,0,0.51,0,2019-06-01,FY57,AX000674,,,,,,,
AX202283,1,0,0,2023-08-01,FY61,AX001660,,,,,,,
AX440349,3,0,0,2019-06-01,FY57,AX001658,,,,,,,
AX004025,1,0,0,2019-06-01,FY57,AX001657,,,,,,,
AX004041,2,0,0,2019-06-01,FY57,AX001655,,,,,,,
AX004699,8,0,0,2019-06-01,FY57,AX001656,,,,,,,
AX004700,1,0,0,2023-08-01,FY61,AX001654,,,,,,,
AX446369,1,0,0,2023-09-01,FY61,AX100446,,,,,,,
AX439001,3,0,0,2019-06-01,FY57,AX100445,,,,,,,
AX444653,4,0,0,2019-06-01,FY57,AX100447,,,,,,,
AX001857,8.36,0,0,2023-09-01,FY61,AX100448,,,,,,,
AX909392,3,0,0,2019-06-01,FY57,AX102477,,,,,,,
AX126191,17,0,0,2019-06-01,FY57,AX102478,,,,,,,
AX446371,0,0.49,0,2019-06-01,FY57,AX100450,,,,,,,
AX411825,3,0,0,2023-09-01,FY61,AX100449,,,,,,,
AX230826,3,0,0,2019-06-01,FY57,AX102479,,,,,,,
AX306769,1,1.26,0,2019-06-01,FY57,AX109136,,,,,,,
AX211952,7,0,0,2019-06-01,FY57,AX109139,,,,,,,
AX218833,1,0,0,2019-06-01,FY57,AX115285,,,,,,,
AX109446,11,0,0,2019-06-01,FY57,AX109141,,,,,,,
AX213399,3,0,0,2019-06-01,FY57,AX112930,,,,,,,
AX227761,1,2.17,0,2019-06-01,FY57,AX201247,,,,,,,
AX304029,5,0,0,2019-06-01,FY57,AX201246,,,,,,,
AX306578,4,0,0,2019-06-01,FY57,AX211893,,,,,,,
AX306455,1,2.23,0,2019-06-01,FY57,AX220523,,,,,,,
AX336858,2,0,0,2019-06-01,FY57,AX225954,,,,,,,
AX335947,1,2.05,0,2019-06-01,FY57,AX115675,,,,,,,
AX335948,3,0,0,2019-06-01,FY57,AX323501,,,,,,,
AX335949,0,15.38,0,2019-06-01,FY57,AX323502,,,,,,,
AX413155,1,0,0,2019-07-01,FY57,AX907894,,,,,,,
AX407804,1,0.84,0,2019-07-01,FY57,AX908507,,,,,,,
AX902599,20,0,0,2019-07-01,FY57,AX000675,,,,,,,
AX202282,7,0,0,2019-07-01,FY57,AX001661,,,,,,,
AX913593,4,0,0,2019-07-01,FY57,AX001662,,,,,,,
AX913555,6,1.8,0,2019-07-01,FY57,AX109137,,,,,,,
AX112956,1,0,0,2023-10-01,FY61,AX109138,,,,,,,
AX007811,4,0,0,2019-07-01,FY57,AX116271,,,,,,,
AX439858,4,0,0,2019-07-01,FY57,AX124541,,,,,,,
AX907782,5,0,0,2019-07-01,FY57,AX125329,,,,,,,
AX907924,5,1.7,0,2019-07-01,FY57,AX203598,,,,,,,
AX910225,2,0,0,2019-07-01,FY57,AX212649,,,,,,,
AX913133,4,0,0,2019-07-01,FY57,AX212648,,,,,,,
AX913462,9,0,0,2019-07-01,FY57,AX211894,,,,,,,
AX000630,1,0,0,2019-07-01,FY57,AX215813,,,,,,,
AX014396,2,0,0,2019-07-01,FY57,AX215814,,,,,,,
AX013924,6,0,0,2019-07-01,FY57,AX220524,,,,,,,
AX015032,2.36,0,0,2023-10-01,FY61,AX225956,,,,,,,
AX101588,10.36,0,0,2023-11-01,FY61,AX225953,,,,,,,
AX100238,11,0,0,2019-07-01,FY57,AX225957,,,,,,,
AX123274,2,0,0,2019-07-01,FY57,AX225955,,,,,,,
AX200961,2,0,0,2019-07-01,FY57,AX231345,,,,,,,
AX211006,8,1.59,0,2019-07-01,FY57,AX231344,,,,,,,
